epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1079,1.70717,3.37668,1.79325,0.45524,0.20551,0.23268,0.09772,1.87883,3.02677,2.07079,0.00032963,0.00032963,0.00032963
2,56.306,1.65645,2.39712,1.72729,0.69584,0.31399,0.33517,0.14306,2.02365,2.48079,2.18244,0.000649836,0.000649836,0.000649836
3,73.179,1.65348,2.22131,1.71786,0.24438,0.54044,0.33464,0.13615,1.96297,2.55451,2.1615,0.000956843,0.000956843,0.000956843
4,90.1793,1.60631,2.06675,1.67828,0.35558,0.38034,0.26684,0.10912,1.99702,5.85317,2.25756,0.0009406,0.0009406,0.0009406
5,107.178,1.55939,1.91446,1.63157,0.66822,0.3978,0.42394,0.17847,1.85707,2.30768,2.03407,0.0009208,0.0009208,0.0009208
6,124.414,1.5317,1.82998,1.62022,0.55833,0.50751,0.52779,0.21838,1.87354,2.49486,2.07298,0.000901,0.000901,0.000901
7,141.616,1.51951,1.75371,1.5993,0.6297,0.47511,0.5085,0.23598,1.75303,2.21176,2.01553,0.0008812,0.0008812,0.0008812
8,158.537,1.51219,1.74266,1.59354,0.47997,0.52295,0.5619,0.25788,1.75764,1.82169,1.9808,0.0008614,0.0008614,0.0008614
9,175.489,1.49048,1.71589,1.57658,0.47748,0.54886,0.56833,0.26194,1.72118,1.73016,1.9254,0.0008416,0.0008416,0.0008416
10,192.501,1.47954,1.66139,1.57205,0.67289,0.5216,0.58067,0.25809,1.69642,1.8663,1.84982,0.0008218,0.0008218,0.0008218
11,209.445,1.45552,1.63676,1.55905,0.69723,0.46786,0.60787,0.28882,1.70257,1.62815,1.87391,0.000802,0.000802,0.000802
12,226.506,1.43979,1.59386,1.54325,0.5251,0.62423,0.6022,0.28751,1.62985,1.79719,1.84605,0.0007822,0.0007822,0.0007822
13,243.502,1.44406,1.56924,1.54678,0.68995,0.52006,0.58616,0.27149,1.73185,1.73494,1.91135,0.0007624,0.0007624,0.0007624
14,260.455,1.45724,1.56908,1.5509,0.57788,0.61979,0.64407,0.32161,1.6469,1.63016,1.82977,0.0007426,0.0007426,0.0007426
15,277.447,1.4209,1.50892,1.52035,0.67369,0.4266,0.52795,0.25478,1.72927,1.73581,1.86558,0.0007228,0.0007228,0.0007228
16,294.458,1.424,1.5017,1.53776,0.65105,0.58076,0.62145,0.29337,1.61601,1.63627,1.88121,0.000703,0.000703,0.000703
17,311.509,1.41043,1.51578,1.53043,0.75537,0.49147,0.60435,0.28148,1.71569,1.66657,1.85677,0.0006832,0.0006832,0.0006832
18,328.566,1.41452,1.48811,1.52258,0.57671,0.64562,0.67215,0.33871,1.62849,1.51756,1.80832,0.0006634,0.0006634,0.0006634
19,345.628,1.40596,1.4681,1.52978,0.53485,0.65996,0.64876,0.32027,1.59141,1.60099,1.74649,0.0006436,0.0006436,0.0006436
20,362.71,1.36819,1.43111,1.49999,0.5632,0.63803,0.66737,0.33307,1.63856,1.5128,1.7965,0.0006238,0.0006238,0.0006238
21,379.622,1.39301,1.45657,1.50607,0.63998,0.64592,0.68952,0.3301,1.67631,1.53306,1.83988,0.000604,0.000604,0.000604
22,396.558,1.38515,1.41892,1.50524,0.56951,0.6753,0.69453,0.33151,1.60701,1.53104,1.83347,0.0005842,0.0005842,0.0005842
23,413.66,1.3669,1.38698,1.48637,0.54309,0.66692,0.68112,0.33883,1.61885,1.47801,1.77329,0.0005644,0.0005644,0.0005644
24,430.588,1.34776,1.4041,1.50881,0.67884,0.60401,0.69004,0.33054,1.61878,1.48301,1.84109,0.0005446,0.0005446,0.0005446
25,447.597,1.35352,1.37384,1.4835,0.56051,0.62862,0.65669,0.32903,1.58031,1.49753,1.76065,0.0005248,0.0005248,0.0005248
26,464.606,1.34262,1.36414,1.47807,0.69674,0.64732,0.73253,0.37757,1.52835,1.41966,1.70715,0.000505,0.000505,0.000505
27,481.652,1.34494,1.36259,1.4815,0.59239,0.62836,0.64805,0.31616,1.6561,1.48364,1.81175,0.0004852,0.0004852,0.0004852
28,498.71,1.31489,1.32699,1.45919,0.64185,0.6653,0.71183,0.36976,1.55741,1.37845,1.7307,0.0004654,0.0004654,0.0004654
29,515.659,1.3344,1.33885,1.46866,0.66276,0.64946,0.71752,0.36251,1.56199,1.38465,1.73478,0.0004456,0.0004456,0.0004456
30,532.513,1.30782,1.30255,1.45864,0.60369,0.67276,0.70008,0.34324,1.59732,1.43477,1.73056,0.0004258,0.0004258,0.0004258
31,549.484,1.32814,1.29976,1.47287,0.69806,0.65868,0.72885,0.37891,1.54019,1.36755,1.73409,0.000406,0.000406,0.000406
32,566.492,1.30199,1.28994,1.4476,0.69076,0.65828,0.73784,0.37099,1.56014,1.36385,1.74891,0.0003862,0.0003862,0.0003862
33,583.466,1.31102,1.29457,1.4553,0.64177,0.66161,0.7214,0.37988,1.53028,1.34269,1.72747,0.0003664,0.0003664,0.0003664
34,600.524,1.29629,1.27648,1.44885,0.64499,0.69715,0.72602,0.37756,1.54267,1.36548,1.72075,0.0003466,0.0003466,0.0003466
35,617.497,1.28037,1.23068,1.42214,0.6807,0.6327,0.71484,0.36963,1.56042,1.33035,1.7424,0.0003268,0.0003268,0.0003268
36,634.38,1.26168,1.20214,1.41993,0.61268,0.70725,0.73747,0.38773,1.48984,1.34524,1.68563,0.000307,0.000307,0.000307
37,651.372,1.27248,1.24214,1.43464,0.68379,0.64924,0.72789,0.3821,1.53055,1.31692,1.73317,0.0002872,0.0002872,0.0002872
38,668.383,1.26888,1.21941,1.42505,0.69362,0.64917,0.73577,0.3943,1.5083,1.29474,1.7099,0.0002674,0.0002674,0.0002674
39,685.254,1.24514,1.1809,1.40109,0.71638,0.64396,0.74011,0.39918,1.52649,1.28928,1.71298,0.0002476,0.0002476,0.0002476
40,702.219,1.23961,1.20573,1.41353,0.68394,0.6719,0.73226,0.38586,1.52643,1.30501,1.72274,0.0002278,0.0002278,0.0002278
41,719.824,1.29388,1.21319,1.49044,0.70304,0.64752,0.7217,0.37421,1.55885,1.28795,1.76147,0.000208,0.000208,0.000208
42,736.67,1.24945,1.13076,1.46406,0.69679,0.66874,0.73599,0.38947,1.51591,1.30522,1.71842,0.0001882,0.0001882,0.0001882
43,753.461,1.23838,1.09123,1.45385,0.681,0.67421,0.74155,0.39213,1.5093,1.2748,1.71602,0.0001684,0.0001684,0.0001684
44,770.288,1.23783,1.09337,1.44351,0.72663,0.67548,0.7531,0.40266,1.4815,1.24564,1.67699,0.0001486,0.0001486,0.0001486
45,787.128,1.20965,1.05518,1.4264,0.69887,0.6732,0.74489,0.39697,1.49962,1.25509,1.6898,0.0001288,0.0001288,0.0001288
46,803.943,1.21531,1.06182,1.42502,0.72126,0.66319,0.75425,0.40434,1.4918,1.25669,1.68002,0.000109,0.000109,0.000109
47,820.81,1.19007,1.0352,1.42433,0.7793,0.64605,0.76702,0.41701,1.47446,1.21727,1.68654,8.92e-05,8.92e-05,8.92e-05
48,837.62,1.1825,1.01078,1.39886,0.73571,0.65483,0.75102,0.40545,1.51172,1.23254,1.69603,6.94e-05,6.94e-05,6.94e-05
49,854.529,1.18353,1.01404,1.41631,0.75891,0.67408,0.76083,0.41068,1.50223,1.21612,1.69373,4.96e-05,4.96e-05,4.96e-05
50,871.249,1.16777,1.01655,1.39737,0.72893,0.68156,0.76001,0.40791,1.50765,1.23432,1.69255,2.98e-05,2.98e-05,2.98e-05
